event_date,release_name,importance,symbol,horizon,session_date,session_weekday,metric,value
2024-02-14,Producer Price Index,0.6,NVDA,1,2024-02-15,Thursday,abs_ret,0.016113744075829328
2024-02-14,Producer Price Index,0.6,NVDA,1,2024-02-15,Thursday,range_pct,0.021259309410968086
2024-02-14,Producer Price Index,0.6,NVDA,1,2024-02-15,Thursday,realized_vol,0.016662777305081276
2024-02-14,Producer Price Index,0.6,NVDA,2,2024-02-16,Friday,ret,-0.020507285483000626
2024-02-14,Producer Price Index,0.6,NVDA,2,2024-02-16,Friday,abs_ret,0.020507285483000626
2024-02-14,Producer Price Index,0.6,NVDA,2,2024-02-16,Friday,range_pct,0.02563410685375075
2024-02-14,Producer Price Index,0.6,NVDA,2,2024-02-16,Friday,realized_vol,0.020214880906221012
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-15,Thursday,ret,-0.016113744075829328
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-15,Thursday,abs_ret,0.016113744075829328
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-15,Thursday,range_pct,0.021259309410968086
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-15,Thursday,realized_vol,0.016662777305081276
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-16,Friday,ret,-0.020507285483000626
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-16,Friday,abs_ret,0.020507285483000626
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-16,Friday,range_pct,0.02563410685375075
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-16,Friday,realized_vol,0.020214880906221012
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-20,Tuesday,ret,-0.034607366226546366
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-20,Tuesday,abs_ret,0.034607366226546366
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-20,Tuesday,range_pct,0.05879082696316872
2024-02-15,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-20,Tuesday,realized_vol,0.03152630269495717
2024-02-16,Producer Price Index,0.6,NVDA,0,2024-02-16,Friday,ret,-0.020507285483000626
2024-02-16,Producer Price Index,0.6,NVDA,0,2024-02-16,Friday,abs_ret,0.020507285483000626
2024-02-16,Producer Price Index,0.6,NVDA,0,2024-02-16,Friday,range_pct,0.02563410685375075
2024-02-16,Producer Price Index,0.6,NVDA,0,2024-02-16,Friday,realized_vol,0.020214880906221012
2024-02-16,Producer Price Index,0.6,NVDA,1,2024-02-20,Tuesday,ret,-0.034607366226546366
2024-02-16,Producer Price Index,0.6,NVDA,1,2024-02-20,Tuesday,abs_ret,0.034607366226546366
2024-02-16,Producer Price Index,0.6,NVDA,1,2024-02-20,Tuesday,range_pct,0.05879082696316872
2024-02-16,Producer Price Index,0.6,NVDA,1,2024-02-20,Tuesday,realized_vol,0.03152630269495717
2024-02-16,Producer Price Index,0.6,NVDA,2,2024-02-21,Wednesday,ret,-0.00779182593354899
2024-02-16,Producer Price Index,0.6,NVDA,2,2024-02-21,Wednesday,abs_ret,0.00779182593354899
2024-02-16,Producer Price Index,0.6,NVDA,2,2024-02-21,Wednesday,range_pct,0.03881211408409292
2024-02-16,Producer Price Index,0.6,NVDA,2,2024-02-21,Wednesday,realized_vol,0.021785562328131915
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-22,Thursday,ret,0.04584832733573241
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-22,Thursday,abs_ret,0.04584832733573241
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-22,Thursday,range_pct,0.05811008929761428
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-22,Thursday,realized_vol,0.027089279543926318
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-23,Friday,ret,-0.024012872880307068
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-23,Friday,abs_ret,0.024012872880307068
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-23,Friday,range_pct,0.05966084911498957
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-23,Friday,realized_vol,0.03184929261740728
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-26,Monday,ret,-0.007653701380175626
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-26,Monday,abs_ret,0.007653701380175626
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-26,Monday,range_pct,0.026850690087829365
2024-02-22,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-26,Monday,realized_vol,0.020953721430391377
2024-02-28,Gross Domestic Product,0.6,NVDA,0,2024-02-28,Wednesday,ret,0.0007729966503478014
2024-02-28,Gross Domestic Product,0.6,NVDA,0,2024-02-28,Wednesday,abs_ret,0.0007729966503478014
2024-02-28,Gross Domestic Product,0.6,NVDA,0,2024-02-28,Wednesday,range_pct,0.0231898995104356
2024-02-28,Gross Domestic Product,0.6,NVDA,0,2024-02-28,Wednesday,realized_vol,0.013212447546368886
2024-02-28,Gross Domestic Product,0.6,NVDA,1,2024-02-29,Thursday,ret,0.001643697053989035
2024-02-28,Gross Domestic Product,0.6,NVDA,1,2024-02-29,Thursday,abs_ret,0.001643697053989035
2024-02-28,Gross Domestic Product,0.6,NVDA,1,2024-02-29,Thursday,range_pct,0.020735870527247447
2024-02-28,Gross Domestic Product,0.6,NVDA,1,2024-02-29,Thursday,realized_vol,0.017416212899874387
2024-02-28,Gross Domestic Product,0.6,NVDA,2,2024-03-01,Friday,ret,0.028625000000000123
2024-02-28,Gross Domestic Product,0.6,NVDA,2,2024-03-01,Friday,abs_ret,0.028625000000000123
2024-02-28,Gross Domestic Product,0.6,NVDA,2,2024-03-01,Friday,range_pct,0.03574999999999999
2024-02-28,Gross Domestic Product,0.6,NVDA,2,2024-03-01,Friday,realized_vol,0.012387712602962576
2024-02-29,Personal Income and Outlays,1.0,NVDA,0,2024-02-29,Thursday,ret,0.001643697053989035
2024-02-29,Personal Income and Outlays,1.0,NVDA,0,2024-02-29,Thursday,abs_ret,0.001643697053989035
2024-02-29,Personal Income and Outlays,1.0,NVDA,0,2024-02-29,Thursday,range_pct,0.020735870527247447
